Trains,Buses,AvgServiceTime,LongestServiceTime,CompletedJobs
14,38,41.05,246.48,16337
14,39,41.80,242.52,16204
14,40,41.77,246.71,15859
14,41,41.13,243.12,15961
14,42,42.14,252.61,16397
14,43,41.67,242.15,16079
14,44,41.30,243.62,16169
14,45,41.99,246.03,15859
14,46,41.42,247.08,15990
14,47,41.32,252.61,15848
14,48,41.24,243.64,16185
14,49,41.22,242.88,16147
14,50,41.30,246.29,16333
15,1,100.60,252.19,3344
15,2,73.57,243.08,5649
15,3,57.63,242.39,7508
15,4,60.12,242.88,7827
15,5,61.61,244.31,8181
15,6,62.49,244.05,8520
15,7,64.19,250.87,9184
15,8,65.13,248.41,9221
15,9,66.12,246.93,9893
15,10,66.44,250.08,10312
15,11,65.85,243.19,10713
15,12,65.18,241.96,11054
15,13,64.65,241.98,12081
15,14,61.98,246.52,11836
15,15,62.12,242.85,12437
15,16,60.18,246.84,13169
15,17,57.09,246.28,13640
15,18,54.66,242.91,14304
15,19,51.99,243.06,14672
15,20,48.80,246.85,14859
15,21,47.07,244.14,15544
15,22,43.76,245.95,15794
15,23,42.62,242.69,16086
15,24,42.04,242.04,16389
15,25,41.48,251.10,16164
15,26,41.55,244.78,16418
15,27,41.34,243.43,15980
15,28,41.74,245.90,16133
15,29,40.99,246.98,16199
15,30,41.18,242.88,16150
15,31,41.25,246.51,16262
15,32,41.85,242.56,16094
15,33,41.59,243.19,16108
15,34,40.73,245.29,16374
15,35,42.10,244.33,16165
15,36,41.66,251.25,16493
15,37,41.03,246.47,16408
15,38,41.74,242.91,16150
15,39,41.15,242.08,16297
15,40,41.68,252.37,16404
15,41,40.98,245.62,16144
15,42,41.56,242.72,15983
15,43,41.68,243.15,16485
15,44,40.94,251.81,15851
15,45,41.44,243.25,16211
15,46,40.73,242.54,16173
15,47,40.83,245.24,16360
15,48,41.79,242.32,16391
15,49,41.31,251.48,16078
15,50,40.93,243.19,16154
16,1,99.73,252.11,3322
16,2,71.59,252.58,5941
16,3,57.31,249.00,7492
16,4,59.46,244.16,7985
16,5,61.13,241.90,8282
16,6,62.60,241.00,8674
16,7,62.67,245.42,9080
16,8,66.40,248.24,9230
16,9,66.07,243.90,9711
16,10,66.08,246.33,9874
16,11,65.40,248.86,10473
16,12,64.65,242.60,11171
16,13,64.94,248.05,11669
16,14,62.14,243.33,12267
16,15,60.61,246.76,12560
16,16,60.43,246.39,12951
16,17,57.86,246.86,13674
16,18,55.44,245.10,14076
16,19,52.73,242.20,14669
16,20,51.32,243.14,15223
16,21,47.49,242.91,15322
16,22,43.88,242.44,15855
16,23,42.68,243.42,16214
16,24,41.98,242.76,16124
16,25,41.31,242.67,16203
16,26,40.83,242.89,16289
16,27,41.49,242.98,16168
16,28,41.08,242.90,16361
16,29,40.80,242.68,16318
16,30,41.47,245.53,16262
16,31,40.77,242.06,16139
16,32,40.46,246.82,16161
16,33,41.39,243.46,16147
16,34,41.55,245.62,16100
16,35,42.18,246.83,16436
16,36,41.25,243.01,16169
16,37,41.25,246.67,16313
16,38,41.33,242.46,16090
16,39,40.91,242.76,16250
16,40,41.00,243.31,16286
16,41,41.94,246.81,16487
16,42,40.99,244.86,16581
16,43,41.55,244.95,16294
16,44,40.84,242.27,16361
16,45,41.44,242.37,16302
16,46,41.69,242.42,16127
16,47,41.93,245.15,16300
16,48,41.65,252.65,16068
16,49,40.31,243.17,16256
16,50,41.09,242.46,16046
